"label","department_name","region_name"
"fraroz","jura","bourgogne-franche-comté"
"frontenay","jura","bourgogne-franche-comté"
"gigny","jura","bourgogne-franche-comté"
"grande riviere chateau","jura","bourgogne-franche-comté"
"les hays","jura","bourgogne-franche-comté"
"ivory","jura","bourgogne-franche-comté"
"larrivoire","jura","bourgogne-franche-comté"
"lect","jura","bourgogne-franche-comté"
"valzin en petite montagne","jura","bourgogne-franche-comté"
"longchaumois","jura","bourgogne-franche-comté"
"lons le saunier","jura","bourgogne-franche-comté"
"malange","jura","bourgogne-franche-comté"
"mantry","jura","bourgogne-franche-comté"
"marigna sur valouse","jura","bourgogne-franche-comté"
"marigny","jura","bourgogne-franche-comté"
"mathenay","jura","bourgogne-franche-comté"
"mesnois","jura","bourgogne-franche-comté"
"messia sur sorne","jura","bourgogne-franche-comté"
"mieges","jura","bourgogne-franche-comté"
"mieges","jura","bourgogne-franche-comté"
"mignovillard","jura","bourgogne-franche-comté"
"moissey","jura","bourgogne-franche-comté"
"chassal molinges","jura","bourgogne-franche-comté"
"monnetay","jura","bourgogne-franche-comté"
"montain","jura","bourgogne-franche-comté"
"morbier","jura","bourgogne-franche-comté"
"hauts de bienne","jura","bourgogne-franche-comté"
"mouchard","jura","bourgogne-franche-comté"
"moutonne","jura","bourgogne-franche-comté"
"les trois chateaux","jura","bourgogne-franche-comté"
"nance","jura","bourgogne-franche-comté"
"neublans abergement","jura","bourgogne-franche-comté"
"nozeroy","jura","bourgogne-franche-comté"
"orgelet","jura","bourgogne-franche-comté"
"our","jura","bourgogne-franche-comté"
"le pasquier","jura","bourgogne-franche-comté"
"patornay","jura","bourgogne-franche-comté"
"peintre","jura","bourgogne-franche-comté"
"pimorin","jura","bourgogne-franche-comté"
"plainoiseau","jura","bourgogne-franche-comté"
"pont de poitte","jura","bourgogne-franche-comté"
"pont d hery","jura","bourgogne-franche-comté"
"pont d hery","jura","bourgogne-franche-comté"
"presilly","jura","bourgogne-franche-comté"
"pretin","jura","bourgogne-franche-comté"
"pupillin","jura","bourgogne-franche-comté"
"quintigny","jura","bourgogne-franche-comté"
"rainans","jura","bourgogne-franche-comté"
"rye","jura","bourgogne-franche-comté"
"st aubin","jura","bourgogne-franche-comté"
"st germain en montagne","jura","bourgogne-franche-comté"
"val suran","jura","bourgogne-franche-comté"
"st lamain","jura","bourgogne-franche-comté"
"st laurent en grandvaux","jura","bourgogne-franche-comté"
"st loup","jura","bourgogne-franche-comté"
"st pierre","jura","bourgogne-franche-comté"
"st thiebaud","jura","bourgogne-franche-comté"
"saizenay","jura","bourgogne-franche-comté"
"seligney","jura","bourgogne-franche-comté"
"supt","jura","bourgogne-franche-comté"
"syam","jura","bourgogne-franche-comté"
"tavaux","jura","bourgogne-franche-comté"
"thesy","jura","bourgogne-franche-comté"
"thoirette coisia","jura","bourgogne-franche-comté"
"thoirette coisia","jura","bourgogne-franche-comté"
"vadans","jura","bourgogne-franche-comté"
"valempoulieres","jura","bourgogne-franche-comté"
"vannoz","jura","bourgogne-franche-comté"
"le vaudioux","jura","bourgogne-franche-comté"
"vaux sur poligny","jura","bourgogne-franche-comté"
"vernantois","jura","bourgogne-franche-comté"
"vescles","jura","bourgogne-franche-comté"
"vevy","jura","bourgogne-franche-comté"
"villards d heria","jura","bourgogne-franche-comté"
"villeneuve sous pymont","jura","bourgogne-franche-comté"
"villers farlay","jura","bourgogne-franche-comté"
"vincent froideville","jura","bourgogne-franche-comté"
"voiteur","jura","bourgogne-franche-comté"
"vriange","jura","bourgogne-franche-comté"
"ahuy","côte-d'or","bourgogne-franche-comté"
"aignay le duc","côte-d'or","bourgogne-franche-comté"
"allerey","côte-d'or","bourgogne-franche-comté"
"aloxe corton","côte-d'or","bourgogne-franche-comté"
"antigny la ville","côte-d'or","bourgogne-franche-comté"
"arceau","côte-d'or","bourgogne-franche-comté"
"arnay sous vitteaux","côte-d'or","bourgogne-franche-comté"
"aubaine","côte-d'or","bourgogne-franche-comté"
"avot","côte-d'or","bourgogne-franche-comté"
"baulme la roche","côte-d'or","bourgogne-franche-comté"
"bellenot sous pouilly","côte-d'or","bourgogne-franche-comté"
"bessey en chaume","côte-d'or","bourgogne-franche-comté"
"bessey les citeaux","côte-d'or","bourgogne-franche-comté"
"bissey la cote","côte-d'or","bourgogne-franche-comté"
"bissey la pierre","côte-d'or","bourgogne-franche-comté"
"source seine","côte-d'or","bourgogne-franche-comté"
"bligny les beaune","côte-d'or","bourgogne-franche-comté"
"bligny sur ouche","côte-d'or","bourgogne-franche-comté"
"bouix","côte-d'or","bourgogne-franche-comté"
"brain","côte-d'or","bourgogne-franche-comté"
"braux","côte-d'or","bourgogne-franche-comté"
"brianny","côte-d'or","bourgogne-franche-comté"
"buffon","côte-d'or","bourgogne-franche-comté"
"cessey sur tille","côte-d'or","bourgogne-franche-comté"
"chailly sur armancon","côte-d'or","bourgogne-franche-comté"
"chambain","côte-d'or","bourgogne-franche-comté"
"chamesson","côte-d'or","bourgogne-franche-comté"
"champ d oiseau","côte-d'or","bourgogne-franche-comté"
"charmes","côte-d'or","bourgogne-franche-comté"
"charrey sur saone","côte-d'or","bourgogne-franche-comté"
"chatillon sur seine","côte-d'or","bourgogne-franche-comté"
"chaudenay le chateau","côte-d'or","bourgogne-franche-comté"
"chaugey","côte-d'or","bourgogne-franche-comté"
"chaumont le bois","côte-d'or","bourgogne-franche-comté"
"valforet","côte-d'or","bourgogne-franche-comté"
"clery","côte-d'or","bourgogne-franche-comté"
"collonges et premieres","côte-d'or","bourgogne-franche-comté"
"combertault","côte-d'or","bourgogne-franche-comté"
"comblanchien","côte-d'or","bourgogne-franche-comté"
"commarin","côte-d'or","bourgogne-franche-comté"
"corpoyer la chapelle","côte-d'or","bourgogne-franche-comté"
"courtivron","côte-d'or","bourgogne-franche-comté"
"crecey sur tille","côte-d'or","bourgogne-franche-comté"
"curley","côte-d'or","bourgogne-franche-comté"
"dienay","côte-d'or","bourgogne-franche-comté"
"dijon","côte-d'or","bourgogne-franche-comté"
"eguilly","côte-d'or","bourgogne-franche-comté"
"eringes","côte-d'or","bourgogne-franche-comté"
"etalante","côte-d'or","bourgogne-franche-comté"
"etevaux","côte-d'or","bourgogne-franche-comté"
"etormay","côte-d'or","bourgogne-franche-comté"
"faverolles les lucey","côte-d'or","bourgogne-franche-comté"
"flacey","côte-d'or","bourgogne-franche-comté"
"flavigny sur ozerain","côte-d'or","bourgogne-franche-comté"
"le val larrey","côte-d'or","bourgogne-franche-comté"
"fleurey sur ouche","côte-d'or","bourgogne-franche-comté"
"foncegrive","côte-d'or","bourgogne-franche-comté"
"gevrey chambertin","côte-d'or","bourgogne-franche-comté"
